onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005383556	5	1	0	13.43	154	12.71	82
32.007830734	5	1	0	27.74	83	27.82	132
45.012904097	5	1	0	16.07	67	24.43	89
60.01833875	5	1	0	16.04	128	7.85	60
73.022214664	5	2	0	17.46	173	6.6	25
84.026338649	5	2	0	26.63	20	27.74	179
99.031830179	5	2	0	1.31	61	5.36	157
112.035038483	5	2	0	18.98	78	22.77	105
125.040791915	5	2	0	23.22	86	25.28	106
140.04328909	5	2	0	32.76	179	9.6	50
153.046117296	5	1	0	38.06	175	36.6	72
164.05180973	5	2	0	33.83	162	33.04	26
175.05666542	5	1	0	10.32	123	4.23	104
190.058055088	5	2	0	33.77	179	20.84	88
201.062729179	5	1	0	21.76	79	36.63	97
218.06859702	5	1	1	3.7	20	13.67	135
229.071981515	5	1	1	31.89	129	22.24	28
244.076593083	5	2	1	24.07	141	20.19	109
259.079884846	5	1	1	34.76	171	29.55	44
270.084372868	5	2	1	12.2	1	13.41	146
283.08696194	5	2	1	4.49	22	7.19	34
298.090874862	5	1	1	37.11	169	14.23	64
311.09549607	5	1	1	19.3	75	24.5	120
322.099866554	5	2	1	27.14	36	28.57	112
337.103917806	5	1	1	17.8	37	28.54	58
350.10778068	5	2	1	26.65	44	20.8	33
361.114405772	5	2	1	18.55	172	11.71	112
374.117139901	5	1	1	23.41	58	38.56	72
385.122600804	5	2	1	36.95	53	38.03	168
398.126610436	5	2	1	24.05	102	23.87	31
