onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005399622	5	1	1	6.86	138	3.8	48
28.006771009	5	2	1	23.14	88	26.82	139
41.012766392	5	1	1	17.46	173	6.6	25
52.01752358	5	2	1	35.01	172	5.81	78
63.022942631	5	2	1	22.27	163	20.1	56
76.029325544	5	1	1	5.68	56	17.3	70
87.031914016	5	2	1	33.4	71	32.25	30
102.036800002	5	1	1	22.76	143	22.72	46
115.041445682	5	1	1	10.55	68	20.77	143
130.04579558	5	1	1	1.3	32	34.48	148
145.047404456	5	1	1	25.87	24	32.08	76
156.050953058	5	1	1	3.42	57	39.63	79
171.055398004	5	2	1	8.56	159	4.43	89
184.060005091	5	1	1	23.07	82	29.27	140
197.065239674	5	1	1	20.15	151	2.42	61
218.072095229	5	2	0	37.77	65	36.7	24
233.076012528	5	1	0	20.35	166	17.75	44
244.080915968	5	1	0	27.43	47	39.07	151
255.084833685	5	1	0	30.89	116	18.97	28
270.089838716	5	2	0	24.77	173	24.66	1
283.093320816	5	1	0	18.76	124	35.82	145
296.095708278	5	1	0	19.11	169	15.21	97
307.099247069	5	1	0	8.58	135	5.32	22
318.102047269	5	1	0	25.84	120	35.18	170
331.107271218	5	1	0	24.05	102	23.87	31
344.112862524	5	1	0	30.54	38	37.25	132
357.117812368	5	2	0	23.07	82	29.27	140
368.121753648	5	1	0	33.18	165	27.61	104
383.125799191	5	1	0	6.15	51	14.76	177
398.12863452	5	2	0	3.2	100	17.89	153
