onset	duration	delay_later	delay_sooner	amount_later	amount_sooner	choice	subjID	run	modulation
160.053824774	5.0	157.0	51.0	38.12	35.38	0	1	6	-7.959414705106045
171.058738925	5.0	174.0	150.0	27.52	16.51	1	1	6	4.304440688930944
186.063466358	5.0	94.0	11.0	14.19	13.91	0	1	6	-4.402587059687066
199.068943455	5.0	91.0	33.0	36.54	23.86	1	1	6	2.8456750288791213
218.075295165	5.0	116.0	59.0	25.51	24.84	0	1	7	-3.5225821507692476
233.083609149	5.0	80.0	9.0	20.88	16.53	0	1	7	-2.237404647352095
244.08761408	5.0	147.0	84.0	15.31	8.52	1	1	7	2.1465182122326096
255.09347610400002	5.0	82.0	78.0	15.98	0.64	1	1	7	9.672772433154499
270.099523782	5.0	94.0	54.0	38.81	27.98	1	1	7	3.034444800162248
283.105055317	5.0	153.0	17.0	16.42	12.35	0	1	7	-3.1618808186258383
294.108407397	5.0	180.0	124.0	24.49	23.87	0	1	7	-1.9438132936709458
307.112496502	5.0	155.0	93.0	20.38	9.04	1	1	7	4.245244796841467
318.11558524	5.0	66.0	9.0	13.72	13.51	0	1	7	-3.3657720272545433
329.120119281	5.0	79.0	0.0	33.19	4.6	1	1	7	16.630846990944562
342.125419351	5.0	84.0	82.0	11.65	10.91	1	1	7	0.4014033735253868
357.129639156	5.0	145.0	100.0	30.94	29.06	0	1	7	-1.7518874874387507
372.13540895	5.0	148.0	94.0	12.29	6.3	1	1	7	2.2078196459084083
385.140715666	5.0	178.0	70.0	39.25	35.72	0	1	7	-6.530393932582925
398.144731319	5.0	120.0	57.0	12.08	1.09	1	1	7	5.7348953693338025
17.007391255	5.0	168.0	47.0	25.93	15.14	1	1	8	0.457921483880364
30.011532421	5.0	63.0	41.0	33.84	25.8	1	1	8	3.386930980063884
41.01360244	5.0	159.0	15.0	36.1	33.93	0	1	8	-13.732814774980291
52.01955142600001	5.0	100.0	24.0	38.66	26.57	1	1	8	-0.1193211492597861
63.022904419	5.0	154.0	4.0	36.41	32.22	0	1	8	-13.972420023329533
76.027178585	5.0	167.0	157.0	31.41	29.95	1	1	8	0.20651366962833428
91.03119535100001	5.0	46.0	42.0	32.46	32.18	1	1	8	-0.3210061127358088
104.035408231	5.0	159.0	44.0	30.03	28.88	0	1	8	-7.909118620109718
117.038795306	5.0	142.0	6.0	29.54	27.76	0	1	8	-11.942833494591666
132.044725898	5.0	48.0	16.0	33.4	23.7	1	1	8	3.610460140499569
147.048701548	5.0	139.0	134.0	38.31	20.32	1	1	8	8.849110479708328
158.052761027	5.0	119.0	89.0	18.77	14.21	1	1	8	1.460877219514387
173.05807616200002	5.0	113.0	93.0	12.78	10.88	1	1	8	0.535566761527865
186.061764853	5.0	140.0	103.0	35.91	33.14	0	1	8	-1.136442088237466
197.06621519700002	5.0	157.0	92.0	14.34	8.11	1	1	8	1.8685106583769509
17.008871726	5.0	151.0	47.0	39.07	27.43	0	2	1	-4.111248898664954
30.013438359000002	5.0	97.0	4.0	29.35	24.07	0	2	1	-14.520804502176878
41.017219646	5.0	169.0	97.0	19.11	15.21	0	2	1	-0.6865037835016392
56.020982245	5.0	131.0	114.0	5.99	1.5	1	2	1	0.7503034635771131
71.023737155	5.0	52.0	8.0	21.81	13.98	0	2	1	-3.2750430666542742
82.02808290899999	5.0	132.0	38.0	37.25	30.54	0	2	1	-6.408364685773094
93.031358757	5.0	174.0	11.0	31.22	31.14	0	2	1	-17.992929776095906
108.035560981	5.0	115.0	80.0	23.74	16.96	1	2	1	0.2447152932638108
119.039025971	5.0	28.0	13.0	23.37	23.21	0	2	1	-4.176937135603383
132.04421015100002	5.0	177.0	108.0	32.49	32.4	0	2	1	-2.2125296510221943
147.04799218600002	5.0	165.0	104.0	33.18	27.61	1	2	1	-1.0360060021572606
162.053235078	5.0	66.0	12.0	31.52	14.29	1	2	1	-0.6637532798714023
175.056694834	5.0	150.0	91.0	15.86	10.71	1	2	1	-0.02757209026626306
186.060841419	5.0	177.0	51.0	14.76	6.15	1	2	1	-0.16831289704682995
199.066609323	5.0	162.0	35.0	32.02	31.07	0	2	1	-9.039102197066114
218.072095229	5.0	65.0	24.0	37.77	36.7	0	2	2	-8.373201519109141
233.07601252799998	5.0	166.0	44.0	20.35	17.75	1	2	2	-3.9418117848634413
244.080915968	5.0	151.0	47.0	39.07	27.43	0	2	2	-4.111248898664954
255.084833685	5.0	116.0	28.0	30.89	18.97	1	2	2	-3.4796630196648675
270.089838716	5.0	173.0	1.0	24.77	24.66	0	2	2	-20.38878187981043
283.09332081599996	5.0	145.0	124.0	35.82	18.76	0	2	2	2.313375096427767
296.095708278	5.0	169.0	97.0	19.11	15.21	1	2	2	-0.6865037835016392
307.099247069	5.0	135.0	22.0	8.58	5.32	1	2	2	-1.5039852669613525
318.102047269	5.0	170.0	120.0	35.18	25.84	0	2	2	0.08206984274289297
331.107271218	5.0	102.0	31.0	24.05	23.87	1	2	2	-6.121624884652242
344.11286252400004	5.0	132.0	38.0	37.25	30.54	0	2	2	-6.408364685773094
357.11781236800005	5.0	140.0	82.0	29.27	23.07	1	2	2	-0.9896226567298827
368.12175364800004	5.0	165.0	104.0	33.18	27.61	1	2	2	-1.0360060021572606
383.125799191	5.0	177.0	51.0	14.76	6.15	0	2	2	-0.16831289704682995
398.12863452	5.0	153.0	100.0	17.89	3.2	1	2	2	2.042651877954855
17.005383555999998	5.0	154.0	82.0	13.43	12.71	1	2	3	-1.1598675191063164
32.007830734	5.0	132.0	83.0	27.82	27.74	0	2	3	-2.1120267497314824
45.012904096999996	5.0	89.0	67.0	24.43	16.07	0	2	3	1.0947354989895315
60.01833875	5.0	128.0	60.0	16.04	7.85	1	2	3	0.3721434793565095
73.02221466399999	5.0	173.0	25.0	17.46	6.6	0	2	3	-1.060653736645699
84.026338649	5.0	179.0	20.0	27.74	26.63	1	2	3	-11.73656478879173
99.031830179	5.0	157.0	61.0	5.36	1.31	1	2	3	0.39348507051051346
112.035038483	5.0	105.0	78.0	22.77	18.98	1	2	3	-0.22118495800781535
125.040791915	5.0	106.0	86.0	25.28	23.22	1	2	3	-0.41902088977319796
140.04328909	5.0	179.0	50.0	32.76	9.6	0	2	3	0.9627374287441848
153.046117296	5.0	175.0	72.0	38.06	36.6	1	2	3	-4.9585705748581494
164.05180973	5.0	162.0	26.0	33.83	33.04	0	2	3	-12.090326282800538
175.05666542	5.0	123.0	104.0	10.32	4.23	1	2	3	1.0045499676376786
190.058055088	5.0	179.0	88.0	33.77	20.84	0	2	3	-0.46420150370232083
201.062729179	5.0	97.0	79.0	36.63	21.76	0	2	3	2.480906872465037
218.073876487	5.0	87.0	21.0	36.64	30.59	0	2	4	-8.548166915837392
233.08079380799998	5.0	124.0	50.0	38.74	28.83	0	2	4	-3.2014156697588314
246.08371224099997	5.0	150.0	91.0	15.86	10.71	1	2	4	-0.02757209026626306
257.090067213	5.0	176.0	71.0	23.76	17.52	1	2	4	-1.6836095092807022
268.093920195	5.0	139.0	71.0	31.27	19.85	1	2	4	-0.37586129115482514
281.098637278	5.0	179.0	14.0	12.16	9.98	0	2	4	-4.997241406380098
294.104578188	5.0	174.0	31.0	30.4	26.03	1	2	4	-8.099255070890388
309.11131064299997	5.0	154.0	91.0	30.65	14.09	0	2	4	1.3799483412267386
320.115479719	5.0	125.0	13.0	17.55	16.89	0	2	4	-8.308173086040203
335.11837301	5.0	119.0	49.0	21.75	21.58	0	2	4	-3.6814848470409878
348.124249751	5.0	138.0	104.0	17.51	3.62	0	2	4	2.1599446430663125
361.12747928699997	5.0	91.0	83.0	17.13	6.98	0	2	4	2.245348579748571
376.13207197099996	5.0	112.0	36.0	28.57	27.14	0	2	4	-6.130182284261241
391.13504657699997	5.0	79.0	57.0	39.63	3.42	0	2	4	9.148001633544954
402.13789056800005	5.0	120.0	75.0	24.5	19.3	1	2	4	-0.6105436081338551
17.00741966	5.0	150.0	77.0	15.55	12.95	0	2	5	-1.0006757067310468
32.010464689	5.0	143.0	27.0	18.75	14.24	1	2	5	-4.165285773698997
43.014020026000004	5.0	135.0	20.0	13.67	3.7	1	2	5	0.17545033948744004
56.019002791999995	5.0	143.0	68.0	20.77	10.55	1	2	5	0.3146865361908193
69.021279853	5.0	47.0	36.0	24.93	12.42	0	2	5	3.83485726918955
84.024702415	5.0	74.0	68.0	11.18	6.72	1	2	5	1.0973758310427095
97.028156287	5.0	146.0	1.0	13.41	12.2	0	2	5	-9.640802799380715
112.030540031	5.0	121.0	52.0	29.72	15.56	0	2	5	0.12525907470856978
123.034463137	5.0	131.0	114.0	5.99	1.5	0	2	5	0.7503034635771131
134.037799352	5.0	153.0	103.0	34.79	26.47	1	2	5	-0.27718064319348557
145.040570334	5.0	122.0	53.0	39.33	38.16	0	2	5	-5.812325170352292
156.042907319	5.0	28.0	13.0	23.37	23.21	0	2	5	-4.176937135603383
171.046758858	5.0	157.0	156.0	31.81	23.94	0	2	5	1.1576101906216256
184.05013712599998	5.0	70.0	59.0	26.66	21.63	1	2	5	0.6457909635638774
197.05639189599998	5.0	141.0	109.0	24.07	20.19	0	2	5	-0.13908236730478274
218.066861083	5.0	135.0	6.0	35.56	14.8	1	2	6	-6.119854771454098
233.07226510400002	5.0	172.0	112.0	18.55	11.71	1	2	6	0.25003065662497903
244.07697331	5.0	129.0	78.0	17.4	6.17	1	2	6	1.4546513765136702
257.081530693	5.0	94.0	66.0	35.22	32.87	0	2	6	-1.698716112756376
270.08637357099997	5.0	115.0	80.0	23.74	16.96	0	2	6	0.2447152932638108
285.090183679	5.0	129.0	28.0	31.89	22.24	0	2	6	-5.419956593750254
296.094226525	5.0	139.0	123.0	13.28	5.37	1	2	6	1.2163670146512167
309.099071159	5.0	171.0	44.0	34.76	29.55	0	2	6	-6.5613599844775115
322.10206667299997	5.0	34.0	22.0	7.19	4.49	1	2	6	0.7233259828354908
333.109319907	5.0	44.0	33.0	26.65	20.8	1	2	6	0.8001550231225814
348.11431981	5.0	128.0	87.0	8.17	3.95	1	2	6	0.49807909322178645
361.11779731400003	5.0	153.0	19.0	37.46	35.29	1	2	6	-15.178234331139986
376.12156522199996	5.0	142.0	27.0	15.63	12.95	1	2	6	-4.003088641716371
387.12476828	5.0	165.0	8.0	38.47	36.0	0	2	6	-22.397970941684477
402.12936215599996	5.0	52.0	8.0	21.81	13.98	1	2	6	-3.2750430666542742
17.006458265	5.0	117.0	72.0	27.8	14.66	1	2	7	1.2444225212783167
28.011683607	5.0	177.0	31.0	23.84	20.79	1	2	7	-6.576998375972359
41.014111886	5.0	72.0	58.0	38.56	23.41	0	2	7	3.138386787648688
54.01750313	5.0	58.0	2.0	23.16	21.09	1	2	7	-12.195851184042917
65.021881419	5.0	169.0	45.0	25.2	22.62	0	2	7	-5.062622888606139
80.025784108	5.0	150.0	26.0	26.37	16.59	0	2	7	-4.444877032922185
91.028969179	5.0	81.0	28.0	29.98	27.6	0	2	7	-6.082037879465869
104.03375233700001	5.0	172.0	78.0	35.01	5.81	0	2	7	3.3239063714989774
119.039064487	5.0	170.0	36.0	33.29	26.26	0	2	7	-6.747128951535638
134.04376562	5.0	143.0	46.0	22.76	22.72	1	2	7	-4.8388459334722205
149.05139501600001	5.0	58.0	37.0	28.54	17.8	1	2	7	1.5980382624216825
162.05484585600001	5.0	177.0	108.0	32.49	32.4	1	2	7	-2.2125296510221943
177.057349385	5.0	140.0	65.0	33.11	31.99	1	2	7	-4.083292470898905
188.06125395599997	5.0	113.0	26.0	15.06	7.43	1	2	7	-0.8693607350232244
199.065462872	5.0	171.0	16.0	27.51	27.42	0	2	7	-13.535851511070858
218.08042607	5.0	65.0	24.0	37.77	36.7	0	2	8	-8.373201519109141
231.085347485	5.0	106.0	86.0	25.28	23.22	1	2	8	-0.41902088977319796
244.08830889599997	5.0	122.0	53.0	39.33	38.16	1	2	8	-5.812325170352292
255.093781878	5.0	139.0	71.0	31.27	19.85	0	2	8	-0.37586129115482514
268.09908612	5.0	135.0	22.0	8.58	5.32	0	2	8	-1.5039852669613525
283.107102987	5.0	131.0	31.0	32.92	24.31	0	2	8	-5.721527388108828
294.11433315	5.0	132.0	83.0	27.82	27.74	1	2	8	-2.1120267497314824
309.118688393	5.0	123.0	104.0	10.32	4.23	1	2	8	1.0045499676376786
320.121200809	5.0	143.0	27.0	18.75	14.24	0	2	8	-4.165285773698997
333.124306058	5.0	54.0	13.0	36.85	19.72	1	2	8	-0.939970690674361
344.128573217	5.0	89.0	67.0	24.43	16.07	1	2	8	1.0947354989895315
357.13316308599997	5.0	153.0	100.0	17.89	3.2	1	2	8	2.042651877954855
368.138670314	5.0	77.0	35.0	35.55	30.4	1	2	8	-4.023152477242226
383.14429840699995	5.0	128.0	87.0	8.17	3.95	0	2	8	0.49807909322178645
398.149429809	5.0	173.0	1.0	24.77	24.66	0	2	8	-20.38878187981043
218.07036174	5.0	144.0	10.0	15.06	10.57	0	3	1	-0.626169324339692
233.074845091	5.0	126.0	2.0	20.88	20.26	0	3	1	-6.24310086532461
246.07959389200002	5.0	112.0	55.0	31.2	30.8	0	3	1	-3.7115664365917205
261.082630131	5.0	132.0	58.0	19.7	6.53	1	3	1	7.571673378121133
276.08886885	5.0	63.0	55.0	34.82	29.75	0	3	1	3.41907198754161
287.093524511	5.0	180.0	59.0	23.9	23.4	0	3	1	-5.049824868735474
302.098130647	5.0	145.0	138.0	7.95	1.64	1	3	1	3.966145705251334
313.103866163	5.0	108.0	21.0	31.85	10.83	1	3	1	12.21533849052248
326.110309556	5.0	112.0	25.0	2.14	0.47	1	3	1	1.0481248799923961
337.111675819	5.0	145.0	58.0	34.08	29.11	0	3	1	-2.0793421012451816
348.11455915199997	5.0	68.0	52.0	37.92	36.73	0	3	1	-0.6011209138359526
359.11784548199995	5.0	145.0	28.0	22.65	5.37	1	3	1	9.477747080538578
372.12177681699995	5.0	61.0	29.0	36.71	36.03	0	3	1	-2.7898505536151674
385.127808124	5.0	125.0	99.0	23.4	4.99	1	3	1	12.000462660142727
398.132911965	5.0	161.0	157.0	26.57	6.45	1	3	1	12.171164841245348
17.00702153	5.0	102.0	43.0	19.11	14.61	0	3	2	1.0939961928802155
28.011618253	5.0	113.0	10.0	31.35	24.26	0	3	2	-1.7708482976665714
41.014745972	5.0	120.0	39.0	37.41	14.77	1	3	2	12.461494472370415
52.018981511999996	5.0	151.0	80.0	25.33	25.28	0	3	2	-3.3675191361736854
67.021861649	5.0	151.0	45.0	29.77	16.12	1	3	2	4.869516397390404
82.02614119	5.0	49.0	29.0	35.39	35.1	0	3	2	-1.8707664185228872
95.028247042	5.0	105.0	44.0	10.45	4.12	1	3	2	3.8458699398852305
110.03235109200001	5.0	174.0	107.0	8.31	0.48	1	3	2	4.552209821169622
121.038330284	5.0	117.0	32.0	32.86	12.94	1	3	2	10.877670738495434
136.04415488200002	5.0	44.0	6.0	17.5	16.81	0	3	2	-1.5460943327117498
149.050307156	5.0	177.0	15.0	33.15	31.01	0	3	2	-9.884232789466594
162.053988957	5.0	92.0	59.0	38.02	28.23	1	3	2	4.933961214281524
177.05887333299998	5.0	117.0	60.0	34.28	12.89	1	3	2	12.923846570708278
188.064939055	5.0	111.0	19.0	35.92	22.96	1	3	2	3.5003254174710428
199.06810720299998	5.0	103.0	73.0	19.51	19.41	0	3	2	-1.2097387970768398
218.07709557799998	5.0	68.0	27.0	20.7	17.64	1	3	3	0.3414719729845981
229.080576169	5.0	153.0	94.0	15.41	9.54	1	3	3	2.6160465048397787
240.087380511	5.0	167.0	52.0	28.19	20.99	1	3	3	-0.4979050627603776
255.091087202	5.0	130.0	114.0	21.37	19.64	1	3	3	0.5667037645117485
268.095432044	5.0	24.0	15.0	35.44	28.42	1	3	3	5.516571277095309
283.096971574	5.0	148.0	34.0	26.74	21.29	0	3	3	-1.9686302835131642
294.100671292	5.0	89.0	36.0	22.99	19.41	1	3	3	-0.026352179696033318
305.105134324	5.0	136.0	40.0	32.1	14.34	1	3	3	8.394485401729593
320.110883544	5.0	119.0	62.0	13.36	2.68	1	3	3	6.889146696459514
335.113786797	5.0	35.0	17.0	25.16	23.03	1	3	3	0.4984975807193912
348.117525586	5.0	179.0	57.0	36.47	35.04	0	3	3	-7.302588397122978
361.123762325	5.0	153.0	112.0	24.61	10.25	1	3	3	8.166460966591597
376.127719205	5.0	120.0	1.0	36.0	34.8	0	3	3	-10.383396436125103
389.130682547	5.0	168.0	33.0	39.32	35.35	1	3	3	-7.745874109691922
402.133653397	5.0	151.0	83.0	38.83	23.35	1	3	3	6.6498335549672625
17.005940284	5.0	87.0	64.0	36.71	36.49	0	3	4	-1.82623505166233
28.008681468000002	5.0	113.0	10.0	9.45	5.42	1	3	4	1.2858062257027978
39.012830024	5.0	156.0	142.0	23.87	13.59	1	3	4	6.016188339655354
52.017687205	5.0	30.0	13.0	35.99	29.13	1	3	4	4.431392742984858
67.024124943	5.0	150.0	96.0	9.96	6.95	1	3	4	1.197700498367137
80.029234858	5.0	152.0	150.0	38.83	26.6	1	3	4	7.505690299121085
91.03341794299999	5.0	163.0	79.0	35.43	25.52	1	3	4	2.031888938278442
106.039822303	5.0	171.0	89.0	37.09	19.32	1	3	4	7.746047249553834
121.044834435	5.0	71.0	25.0	37.09	24.8	1	3	4	6.314871259265729
136.050126911	5.0	177.0	124.0	21.71	15.65	1	3	4	2.2387882921693993
149.057115866	5.0	93.0	63.0	31.41	22.7	0	3	4	4.74729764904426
162.060706586	5.0	125.0	54.0	29.26	16.72	1	3	4	5.732394887135795
173.064609226	5.0	102.0	19.0	32.68	6.01	1	3	4	17.586845940204448
186.06821046599998	5.0	163.0	18.0	31.8	29.98	0	3	4	-8.751198618371717
201.07070586700002	5.0	109.0	38.0	28.32	27.18	0	3	4	-3.889482224309738
218.075542456	5.0	56.0	5.0	16.68	8.63	1	3	5	5.152729064445712
233.079947312	5.0	174.0	76.0	35.32	25.49	1	3	5	1.2541024065772355
248.08428664599998	5.0	100.0	46.0	26.05	23.67	0	3	5	-1.3976177340604217
263.087789108	5.0	105.0	104.0	13.8	7.4	1	3	5	4.484308988958808
278.09347456	5.0	128.0	3.0	26.73	25.87	0	3	5	-7.918662038845891
291.097625168	5.0	175.0	65.0	23.83	17.51	1	3	5	0.1034771119566873
302.101562426	5.0	68.0	19.0	8.47	4.79	1	3	5	2.200492285600898
315.103748242	5.0	150.0	118.0	39.96	37.52	1	3	5	-0.5212461061918319
328.109305815	5.0	177.0	34.0	28.53	27.04	0	3	5	-7.123400737362726
341.112289275	5.0	164.0	57.0	30.6	23.16	0	3	5	-0.40447931104521473
352.11499615699995	5.0	163.0	79.0	32.63	13.72	1	3	5	9.294652416549765
363.120100467	5.0	167.0	15.0	24.21	22.81	0	3	5	-7.031938409930721
378.12666309	5.0	139.0	34.0	21.92	19.84	0	3	5	-3.3949693380583668
391.13213905	5.0	166.0	87.0	24.63	24.07	0	3	5	-3.062130945746503
402.13637800099997	5.0	110.0	85.0	26.46	12.88	1	3	5	8.744064033026374
17.00536141	5.0	104.0	20.0	38.82	13.45	1	3	6	14.91888630225975
28.009187559	5.0	102.0	27.0	6.81	6.02	0	3	6	-0.601778854077458
41.012635218	5.0	107.0	73.0	33.19	33.16	0	3	6	-2.4302963099247457
56.01568034	5.0	57.0	48.0	9.82	8.37	1	3	6	0.9728138631209848
67.021620237	5.0	37.0	36.0	22.93	20.69	1	3	6	1.8864156481671905
78.025341736	5.0	75.0	25.0	7.9	7.05	0	3	6	-0.33707144813601175
91.02978596700001	5.0	148.0	14.0	13.06	12.79	0	3	6	-3.9226202701448543
104.03436426100001	5.0	132.0	62.0	38.38	35.8	0	3	6	-3.585885587677936
119.03827056	5.0	46.0	2.0	9.66	6.5	0	3	6	1.703085130502859
130.042877911	5.0	130.0	5.0	39.01	37.36	0	3	6	-11.011191448793824
143.046863725	5.0	145.0	115.0	33.59	8.18	1	3	6	15.620640370046605
154.052876749	5.0	37.0	30.0	20.44	14.84	1	3	6	4.549634004875662
167.056598386	5.0	156.0	93.0	33.51	22.99	1	3	6	3.8574517683155314
182.060720506	5.0	148.0	32.0	14.04	13.82	0	3	6	-3.4439631208025396
197.063488407	5.0	160.0	70.0	10.98	3.39	1	3	6	4.034528565202616
218.071911963	5.0	176.0	50.0	28.08	27.39	0	3	7	-6.364054395191484
229.07446444099998	5.0	165.0	31.0	17.21	15.37	0	3	7	-3.3225192812425455
242.08055071799998	5.0	123.0	48.0	23.74	12.58	1	3	7	5.336628509792009
253.08397566	5.0	106.0	103.0	28.84	13.24	1	3	7	10.856328346527874
