k_mu	k_sigma	beta_mu	beta_sigma
0.007134399815457628	0.0008647526841478189	1.0782409328563223	1.0782409328563223
0.03618569943170497	0.04134607537041838	0.09821399921483734	0.09821399921483734
0.004021694609084876	0.0008390813075973076	0.7136344266210156	0.7136344266210156
0.00942251874871426	0.001586445444020049	1.2729182618824932	1.2729182618824932
0.0020586191232070455	0.00028008884485512635	1.3194850279390131	1.3194850279390131
0.0007779901236398213	0.00024010771113399363	0.7627664032185324	0.7627664032185324
0.00434734270821264	0.0008727471678527003	0.9800210390736644	0.9800210390736644
0.006051788128742836	0.0007533739633217764	0.8221015269452611	0.8221015269452611
0.051141387067869186	0.014410859752731875	0.980136630917795	0.980136630917795
0.002005704996482874	0.0003444250393667963	0.9927972117326801	0.9927972117326801
0.002400833191416119	0.00021181582886858463	1.759042201749127	1.759042201749127
0.0016400854149531798	0.00024285573357891782	1.4709945030173197	1.4709945030173197
0.03377599556826998	0.03704615107393054	0.11179748481820218	0.11179748481820218
0.00029139394414692506	0.00021659988492342172	0.6051902244504936	0.6051902244504936
0.0009325753577639843	0.0002737247559002673	0.9439033950152955	0.9439033950152955
0.0008262326528100002	0.00014783503216248274	1.818843727108065	1.818843727108065
0.0002156949941967319	0.00017149638425723908	1.2264831399345135	1.2264831399345135
0.008284119972061557	0.0013943408570341693	0.6232437925705421	0.6232437925705421
0.0042305131353809105	0.0005264832578650354	1.405024779051654	1.405024779051654
0.01547442050952336	0.0031303236804361002	1.2030542566965807	1.2030542566965807
