onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.00858015	5	1	1	18.77	119	14.21	89
30.014835362	5	2	1	21.87	89	23.26	168
43.018013742	5	2	1	10.33	50	13.35	149
58.022354578	5	2	1	1.82	123	32.97	151
69.02656184	5	2	1	4.01	31	28.26	115
82.028832552	5	2	1	29.95	157	31.41	167
93.035151094	5	2	1	21.09	64	29.33	122
104.037601057	5	1	1	26.19	127	25.08	45
119.042685384	5	1	1	15.77	108	5.87	96
132.049130373	5	1	1	11.84	140	1.15	110
147.054741422	5	1	1	25.74	123	21.75	58
158.058223911	5	2	1	10.91	82	11.65	84
171.064959708	5	1	1	36.25	149	34.06	14
186.066101793	5	2	1	9.04	93	20.38	155
201.068823484	5	2	1	14.61	109	29.75	156
218.075142157	5	2	0	16.6	16	22.06	54
229.082173212	5	1	0	15.25	171	5.64	81
244.086170689	5	2	0	28.97	157	22.82	51
259.091195892	5	1	0	35.15	42	36.03	128
272.095487271	5	1	0	34.29	63	16.4	34
283.098147829	5	2	0	11.94	71	25.34	176
294.103503304	5	1	0	21.4	111	22.3	179
307.105445179	5	1	0	36.47	163	2.27	151
318.108614025	5	2	0	4.65	22	14.19	105
333.111969661	5	1	0	32.51	38	28.72	8
346.116966132	5	1	0	14.34	19	27.01	169
361.121948393	5	1	0	21.09	64	29.33	122
374.125864472	5	2	0	19.62	150	19.25	27
385.130524071	5	1	0	23.33	140	6.92	56
400.135690007	5	1	0	12.25	102	16.44	142
