onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.00668043	5	1	0	11.84	140	1.15	110
32.010072649	5	1	0	15.53	8	16.14	41
43.0133846	5	1	0	23.87	52	16.92	12
58.016514312	5	2	0	27.75	24	38.35	72
69.018957901	5	1	0	8.8	55	14.66	127
84.022247106	5	1	0	37.59	83	30.09	57
97.026456139	5	1	0	7.43	80	8.08	101
108.031981365	5	2	0	1.82	123	32.97	151
121.038072591	5	2	0	12.8	74	15.15	111
136.042253076	5	2	0	12.89	6	33.76	149
147.045025575	5	2	0	18.58	156	17.81	12
162.048139123	5	2	0	30.89	114	30.48	20
175.050064141	5	2	0	10.76	135	10.61	103
188.053778265	5	1	0	16.39	14	16.57	99
199.058137928	5	2	0	36.58	110	36.03	22
218.065145745	5	2	1	39.63	33	38.31	13
233.070034476	5	1	1	27.25	90	14.42	2
244.075671914	5	1	1	31.76	174	24.43	163
255.080797047	5	1	1	26.53	133	25.02	94
268.082583129	5	1	1	37.59	83	30.09	57
281.086946703	5	2	1	26.33	119	31.17	168
292.089376716	5	2	1	25.51	116	24.84	59
307.093048163	5	1	1	28.11	80	17.57	14
318.098497644	5	1	1	32.51	38	28.72	8
331.103118773	5	1	1	35.15	42	36.03	128
346.107274177	5	2	1	18.58	156	17.81	12
361.113429432	5	1	1	12.29	148	6.3	94
374.118292244	5	1	1	32.46	46	32.18	42
385.121634267	5	2	1	11.94	71	25.34	176
398.125482559	5	2	1	18	21	24.14	43
