onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.009420057	5	1	1	23.21	131	10.99	51
28.013655018	5	1	1	16.43	32	9.99	19
43.01740651	5	1	1	38.44	33	32.02	12
56.021820194	5	1	1	38.66	100	26.57	24
71.024792213	5	1	1	29.54	142	27.76	6
84.027522264	5	2	1	21.4	111	22.3	179
99.032024064	5	2	1	1.09	57	12.08	120
112.035490001	5	2	1	12.89	6	33.76	149
123.039206045	5	2	1	14.7	120	17.86	173
134.042829966	5	2	1	19.62	150	19.25	27
145.047487117	5	1	1	12.26	37	13.64	75
158.052168696	5	1	1	36.47	163	2.27	151
173.055157509	5	1	1	13.91	11	14.19	94
188.061036031	5	2	1	13.72	66	13.51	9
201.064303209	5	2	1	16.6	16	22.06	54
218.071854122	5	2	0	16.31	132	12.65	21
231.077068265	5	1	0	21.56	16	27.53	154
242.080367431	5	1	0	15.77	108	5.87	96
255.083958534	5	1	0	12.06	90	9.17	84
270.088601815	5	2	0	4.01	31	28.26	115
283.094410906	5	1	0	19.91	84	20.26	159
298.098434921	5	1	0	10.25	42	10.4	178
309.101121377	5	1	0	21.87	89	23.26	168
324.105271777	5	2	0	5.05	4	12.81	13
339.108987206	5	1	0	30.97	30	38.91	130
352.112524545	5	1	0	32.17	111	14.93	52
363.1158433	5	1	0	28.11	80	17.57	14
374.118985482	5	1	0	26.33	119	31.17	168
389.121609214	5	2	0	14.61	109	29.75	156
400.127081135	5	1	0	14.7	120	17.86	173
