onset	duration	choice	agent	money_left	delay_left	money_right	delay_right
17.005680449	5	1	0	12.26	37	13.64	75
32.008017903	5	2	0	29.5	121	22.82	95
47.013361436	5	1	0	19.72	13	24.19	49
60.020240734	5	1	0	38.44	33	32.02	12
75.027032479	5	2	0	28.53	11	35.41	14
86.030385666	5	1	0	31.76	174	24.43	163
101.03553283	5	2	0	23.93	6	34.11	16
114.042142267	5	2	0	16.99	41	37.56	169
125.045166847	5	2	0	26.19	127	25.08	45
140.051506969	5	2	0	34.35	86	33.09	7
151.056264064	5	1	0	11.36	15	19.44	137
162.059675437	5	1	0	18	21	24.14	43
175.064675656	5	2	0	26.53	133	25.02	94
186.069769286	5	2	0	20	165	19.64	7
199.074711452	5	1	0	28.7	88	28.86	156
218.077775498	5	2	1	16.99	41	37.56	169
233.082421998	5	1	1	30.94	145	29.06	100
246.08737814	5	2	1	16.51	150	27.52	174
261.090651064	5	2	1	6.34	58	10.64	72
272.096365005	5	2	1	34.35	86	33.09	7
283.098675932	5	2	1	11.36	15	19.44	137
294.102727963	5	2	1	4.65	22	14.19	105
309.106900521	5	1	1	15.41	103	12.45	97
324.111924235	5	2	1	8.11	92	14.34	157
339.117362823	5	1	1	12.78	113	10.88	93
352.120882198	5	2	1	23.86	33	36.54	91
363.125437209	5	1	1	36.1	159	33.93	15
376.128947835	5	2	1	16.41	133	15.53	42
387.13141824	5	2	1	35.38	51	38.12	157
400.135346842	5	2	1	28.29	163	27.3	45
