k_mu	k_sigma	beta_mu	beta_sigma
0.007130270578630107	0.000856181144291779	1.0781769893920636	1.0781769893920636
0.03621565205710452	0.04089282959182398	0.09867141561538673	0.09867141561538673
0.004023975558989457	0.0008398903355994246	0.7160837165303641	0.7160837165303641
0.00941281036925791	0.0016229236632505902	1.2716461337299407	1.2716461337299407
0.002058632913453301	0.0002832422928464496	1.3141645099130121	1.3141645099130121
0.0007726499178537045	0.0002397297056326053	0.7645087004351756	0.7645087004351756
0.0043372423310437495	0.0008480878374648281	0.984438043671655	0.984438043671655
0.006041733870952169	0.000741618716911514	0.8210044703039641	0.8210044703039641
0.0510094673439352	0.013921521142525694	0.9786083247305519	0.9786083247305519
0.002010995422298192	0.0003486290748916932	0.9972325593659959	0.9972325593659959
0.0024010541579778046	0.0002117621497242684	1.755467049388766	1.755467049388766
0.0016423080063635537	0.00024068443627819577	1.4683669761071205	1.4683669761071205
0.03384790944503489	0.03778013682556659	0.11174898831284592	0.11174898831284592
0.00029263226158047806	0.0002171954480258261	0.6062028956051092	0.6062028956051092
0.0009295164632270331	0.0002811603444551597	0.9401338221583233	0.9401338221583233
0.0008280004766161551	0.00015007977076644894	1.8215665399099332	1.8215665399099332
0.00021775548388275616	0.00017398656863333613	1.2296803438222508	1.2296803438222508
0.008296357651533465	0.0014167296409314568	0.6238466685808091	0.6238466685808091
0.004234278420509925	0.0005389631942809665	1.4052527119173277	1.4052527119173277
0.015489850852014025	0.0031982945000130136	1.206638559698826	1.206638559698826
