rho	lambda	tau
0.4329098454065477	1.023181630644916	16.95669301225995
0.3508446938995769	1.4541887196615273	16.975884224886855
0.29941378017324244	1.4318814029096514	16.420286380241365
0.29432792437162564	1.4085440052204359	16.508747473317605
0.20692577101432424	1.2883918111424624	15.659145585042776
0.32251687017732367	1.247294159714391	16.457036714099303
0.2545775870214588	1.0848600756626765	15.897736639343455
0.37295058828396593	1.1424188026875766	16.569854100503548
0.28752057912581097	1.3366016867473147	16.364435216159823
0.4421700757406089	1.1121207924741123	16.97037308113694
0.380858298765421	1.013140831636309	16.8496102764781
0.3293344035268202	1.2060352567257813	16.477541870028766
0.3025688175875955	1.3690566883184587	16.658797096977775
0.28537694595241203	1.2465941796152944	16.11054865712084
0.2440476236787388	1.2845687667144299	15.940540086438075
0.3713169418322818	1.2700965340600594	16.712116667620535
