rho	lambda	tau
0.4525903848811633	1.0207602487264154	17.610826855383298
0.35711207941979334	1.449692701547381	17.691073519632628
0.29610511422706354	1.4225512528321136	17.238529849206802
0.29312789535943207	1.400247427470886	17.340974301423888
0.2340510979623511	1.2354743580972138	16.835376011082147
0.31701028434684086	1.2426430712811811	17.182264699450887
0.3147484305220452	1.076365954469339	17.178443644312857
0.4025809519929884	1.14857735913573	17.438808270429767
0.2818633403440689	1.3267914890252974	17.159633549468573
0.4445552272297697	1.106358000246042	17.540647940355278
0.4944957619064919	1.016094834639141	17.78399480112868
0.34771111652205405	1.209404136990595	17.379362479098795
0.29689353032426874	1.3597342733849451	17.383656995275246
0.2770842310103425	1.236382823960416	16.96703542947759
0.24491174727233125	1.2728898480575352	16.90482658835195
0.3666619249820927	1.266495522968119	17.381874386049418
